count,world_name,world_id,favorites,platforms,thumbnail,world_url,fetch_date
1,The Breakroom,wrld_23f62187-704c-4548-b0c9-b16a48971fb6,741,"{'pc': True, 'android': True, 'ios': False}",The Breakroom_thumbnail.png,https://vrchat.com/home/world/wrld_23f62187-704c-4548-b0c9-b16a48971fb6,2025-12-15 00:26:12.413976+09:00
1,Prologue of NEONOSTALGIA,wrld_c1828717-a7b5-4738-9cd0-8f5fe2a45a08,3203,"{'pc': True, 'android': False, 'ios': False}",Prologue of NEONOSTALGIA_thumbnail.png,https://vrchat.com/home/world/wrld_c1828717-a7b5-4738-9cd0-8f5fe2a45a08,2025-12-15 00:26:11.360677+09:00
1,DOLL,wrld_d5d896e4-c344-4d63-9266-fa553974f862,19115,"{'pc': True, 'android': True, 'ios': False}",DOLL_thumbnail.png,https://vrchat.com/home/world/wrld_d5d896e4-c344-4d63-9266-fa553974f862,2025-12-15 00:26:08.169079+09:00
1,Calm Ocean,wrld_231b9bc4-237c-4ddc-9a06-b6f8227f3bf7,26399,"{'pc': True, 'android': True, 'ios': False}",Calm Ocean_thumbnail.png,https://vrchat.com/home/world/wrld_231b9bc4-237c-4ddc-9a06-b6f8227f3bf7,2025-12-15 00:31:02.930586+09:00
1,1⁄1024,wrld_018f0ed8-6e84-4e64-b7eb-92462ac869ab,2263,"{'pc': True, 'android': False, 'ios': False}",1⁄1024_thumbnail.png,https://vrchat.com/home/world/wrld_018f0ed8-6e84-4e64-b7eb-92462ac869ab,2025-12-15 00:31:01.876569+09:00
1,The Turning ˸ Cafe ＆ Home,wrld_276f3928-1ccb-4eb9-a938-ff43e761a118,3011,"{'pc': True, 'android': False, 'ios': False}",The Turning ˸ Cafe ＆ Home_thumbnail.png,https://vrchat.com/home/world/wrld_276f3928-1ccb-4eb9-a938-ff43e761a118,2025-12-15 00:31:00.814150+09:00
1,Isolate,wrld_34dcd007-23fb-4794-95c9-4f0f132a7299,9264,"{'pc': True, 'android': True, 'ios': True}",Isolate_thumbnail.png,https://vrchat.com/home/world/wrld_34dcd007-23fb-4794-95c9-4f0f132a7299,2025-12-15 00:30:59.747978+09:00
1,Break the Glass ǃ,wrld_93fbc503-bc5b-4bc3-a4f7-7d289dc82740,71529,"{'pc': True, 'android': True, 'ios': False}",Break the Glass ǃ_thumbnail.png,https://vrchat.com/home/world/wrld_93fbc503-bc5b-4bc3-a4f7-7d289dc82740,2025-12-15 00:30:58.697852+09:00
1,Nature's Nook,wrld_baf396f1-2f63-4cbb-9bb2-117b544cdbc0,913,"{'pc': True, 'android': False, 'ios': False}",Nature's Nook_thumbnail.png,https://vrchat.com/home/world/wrld_baf396f1-2f63-4cbb-9bb2-117b544cdbc0,2025-12-15 00:30:57.643364+09:00
1,にとポータル -nito portal-,wrld_e4998032-8505-403e-817a-76bcc5af6816,6245,"{'pc': True, 'android': True, 'ios': False}",にとポータル -nito portal-_thumbnail.png,https://vrchat.com/home/world/wrld_e4998032-8505-403e-817a-76bcc5af6816,2025-12-15 00:31:26.882237+09:00
1,締切間近の奴を収監するワールド,wrld_b7bd478e-b0bd-4adc-9e3d-d6b405beefae,1407,"{'pc': True, 'android': False, 'ios': False}",締切間近の奴を収監するワールド_thumbnail.png,https://vrchat.com/home/world/wrld_b7bd478e-b0bd-4adc-9e3d-d6b405beefae,2025-12-15 00:31:25.720516+09:00
